"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,4166,0.009
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,4959,0.009
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,6974,0.012
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,5,0
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,12,0
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,6,0
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,18,0
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,82,0.001
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,38,0
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,54,0
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,52,0
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,36,0
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,15,0
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,24,0
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,35,0
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,22,0
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,42,0
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,62,0
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,28,0
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,28,0
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,37,0
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,25,0
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,21,0
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,34,0
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,34,0
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,65,0
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,79,0
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,86,0
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Manpower","Development",NA,90,0
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,314,0.002
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,442,0.003
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,409,0.003
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,2390,0.014
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,406,0.003
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,385,0.002
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,292,0.002
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,289,0.001
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,277,0.001
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,285,0.001
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,321,0.001
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,367,0.001
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,371,0.001
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,456,0.001
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,464,0.001
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,502,0.001
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,555,0.001
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,598,0.001
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,783,0.002
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,953,0.002
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,1607,0.003
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,1900,0.004
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,1945,0.004
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,2945,0.006
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,3764,0.007
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Transport","Operating",NA,3704,0.006
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1346,0.009
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1737,0.012
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,720,0.005
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1130,0.007
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1508,0.009
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1203,0.007
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1115,0.006
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1776,0.009
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1617,0.007
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1518,0.006
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,1621,0.006
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,3379,0.013
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,4082,0.014
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,4250,0.013
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,4003,0.011
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,5414,0.015
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,5504,0.014
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,5489,0.014
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,10332,0.024
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,9319,0.021
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,7572,0.016
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,9877,0.019
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,6617,0.013
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,5327,0.011
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,6541,0.012
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Transport","Development",NA,6549,0.011
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,341,0.002
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,315,0.002
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,366,0.002
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,412,0.002
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,553,0.003
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,564,0.003
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,497,0.003
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,392,0.002
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,436,0.002
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,473,0.002
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,528,0.002
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,660,0.002
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,704,0.002
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,684,0.002
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,671,0.002
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,685,0.002
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,710,0.002
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,729,0.002
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,783,0.002
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,921,0.002
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,943,0.002
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,993,0.002
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,1116,0.002
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,2509,0.005
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,2413,0.004
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Operating",NA,2805,0.005
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2175,0.015
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2646,0.019
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2073,0.014
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1820,0.011
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1293,0.008
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1009,0.006
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1421,0.008
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1154,0.006
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1055,0.005
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1207,0.005
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1516,0.005
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2183,0.008
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2334,0.008
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2673,0.008
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2553,0.007
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2387,0.006
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,1947,0.005
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2102,0.005
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2398,0.006
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2858,0.006
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2688,0.006
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,3656,0.007
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,3176,0.006
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,2910,0.006
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,3728,0.007
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Trade and Industry","Development",NA,3627,0.006
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,0,0
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,0,0
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,0,0
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,0,0
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,24,0
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,28,0
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,47,0
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,42,0
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,39,0
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,38,0
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,37,0
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,34,0
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,76,0
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,88,0
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,160,0
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,227,0.001
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,267,0.001
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,378,0.001
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,454,0.001
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,490,0.001
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,378,0.001
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,617,0.001
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,535,0.001
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,731,0.002
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,734,0.001
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Operating",NA,794,0.001
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,39,0
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,94,0.001
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,82,0.001
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,179,0.001
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,23,0
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,5,0
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,25,0
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,33,0
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,39,0
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,46,0
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,28,0
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,48,0
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,38,0
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,525,0.002
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,278,0.001
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,126,0
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,68,0
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,296,0.001
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,153,0
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,105,0
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,4,0
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,8,0
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,29,0
2020,"Actual","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,53,0
2021,"Revised","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,30,0
2022,"Estimated","Expenditure","Total Expenditure","Economic Development","Info-Communications and Media Development","Development",NA,29,0
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,298,0.002
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,310,0.002
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,339,0.002
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,388,0.002
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,352,0.002
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,379,0.002
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,333,0.002
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,318,0.002
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,345,0.002
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,428,0.002
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,438,0.002
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,484,0.002
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,528,0.002
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,552,0.002
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,617,0.002
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,631,0.002
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,711,0.002
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,682,0.002
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,740,0.002
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,824,0.002
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,833,0.002
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,828,0.002
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,852,0.002
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,904,0.002
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,977,0.002
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Finance","Operating",NA,1026,0.002
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,240,0.002
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,338,0.002
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,199,0.001
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,57,0
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,70,0
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,100,0.001
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,214,0.001
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,308,0.002
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,350,0.002
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,10,0
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,44,0
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,25,0
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,17,0
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,21,0
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,30,0
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,24,0
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,25,0
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,44,0
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,53,0
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,72,0
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,62,0
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,74,0
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,56,0
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,46,0
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,132,0
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Finance","Development",NA,142,0
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,89,0.001
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,97,0.001
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,109,0.001
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,120,0.001
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,112,0.001
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,103,0.001
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,96,0.001
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,97,0
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,100,0
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,106,0
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,107,0
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,118,0
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,127,0
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,119,0
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,123,0
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,163,0
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,167,0
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,177,0
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,174,0
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,181,0
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,185,0
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,185,0
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,218,0
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,196,0
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,212,0
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Law","Operating",NA,229,0
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,435,0.003
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,402,0.003
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,310,0.002
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,131,0.001
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,213,0.001
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,325,0.002
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,184,0.001
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,329,0.002
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,218,0.001
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,167,0.001
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,123,0
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,153,0.001
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,166,0.001
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,148,0
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,130,0
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,316,0.001
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,273,0.001
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,434,0.001
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,319,0.001
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,377,0.001
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,320,0.001
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,217,0
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,311,0.001
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,21,0
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,193,0
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Law","Development",NA,58,0
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,150,0.001
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,135,0.001
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,136,0.001
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,170,0.001
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,173,0.001
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,186,0.001
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,182,0.001
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,187,0.001
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,186,0.001
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,195,0.001
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,247,0.001
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,235,0.001
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,249,0.001
